"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";
"R182";"220";"CR0402-JW-221GLF";"RESC1005X40N";"Thick Film Resistors - SMD 220 OHM 5%";"CR0402-JW-221GLF";"https://www.arrow.com/en/products/cr0402-jw-221glf/bourns";"Thick Film Resistors - SMD 220 OHM 5%";"0.4mm";"Bourns";"CR0402-JW-221GLF";"652-CR0402JW-221GLF";"https://www.mouser.com/Search/Refine.aspx?Keyword=652-CR0402JW-221GLF";"";"";
"R183";"10K";"CRCW040210K0FKEDC";"RESC1005X35N";"VISHAY - CRCW040210K0FKEDC - RES, THICK FILM, 10K, 0.063W, 0402";"CRCW040210K0FKEDC";"https://www.arrow.com/en/products/crcw040210k0fkedc/vishay?region=nac";"VISHAY - CRCW040210K0FKEDC - RES, THICK FILM, 10K, 0.063W, 0402";"0.35mm";"Vishay";"CRCW040210K0FKEDC";"71-CRCW040210K0FKEDC";"https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW040210K0FKEDC?qs=E3Y5ESvWgWPiNLcGzwCGPg%3D%3D";"";"";
"R184";"2K2";"CR0402-FX-2201GLF";"RESC1005X37N";"BOURNS - CR0402-FX-2201GLF - RES, 2K2, 1%, 0402, THICK FILM";"CR0402-FX-2201GLF";"https://www.arrow.com/en/products/cr0402-fx-2201glf/bourns?region=nac";"BOURNS - CR0402-FX-2201GLF - RES, 2K2, 1%, 0402, THICK FILM";"0.37mm";"Bourns";"CR0402-FX-2201GLF";"652-CR0402FX-2201GLF";"https://www.mouser.co.uk/ProductDetail/Bourns/CR0402-FX-2201GLF?qs=JflQ4L8so%2FvNNp%252Bb%2FjYwIg%3D%3D";"";"";
"R185";"CR0402-JW-221GLF";"CR0402-JW-221GLF";"RESC1005X40N";"Thick Film Resistors - SMD 220 OHM 5%";"CR0402-JW-221GLF";"https://www.arrow.com/en/products/cr0402-jw-221glf/bourns";"Thick Film Resistors - SMD 220 OHM 5%";"0.4mm";"Bourns";"CR0402-JW-221GLF";"652-CR0402JW-221GLF";"https://www.mouser.com/Search/Refine.aspx?Keyword=652-CR0402JW-221GLF";"";"";
"R186";"10K";"CRCW040210K0FKEDC";"RESC1005X35N";"VISHAY - CRCW040210K0FKEDC - RES, THICK FILM, 10K, 0.063W, 0402";"CRCW040210K0FKEDC";"https://www.arrow.com/en/products/crcw040210k0fkedc/vishay?region=nac";"VISHAY - CRCW040210K0FKEDC - RES, THICK FILM, 10K, 0.063W, 0402";"0.35mm";"Vishay";"CRCW040210K0FKEDC";"71-CRCW040210K0FKEDC";"https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW040210K0FKEDC?qs=E3Y5ESvWgWPiNLcGzwCGPg%3D%3D";"";"";
"R187";"2K2";"CR0402-FX-2201GLF";"RESC1005X37N";"BOURNS - CR0402-FX-2201GLF - RES, 2K2, 1%, 0402, THICK FILM";"CR0402-FX-2201GLF";"https://www.arrow.com/en/products/cr0402-fx-2201glf/bourns?region=nac";"BOURNS - CR0402-FX-2201GLF - RES, 2K2, 1%, 0402, THICK FILM";"0.37mm";"Bourns";"CR0402-FX-2201GLF";"652-CR0402FX-2201GLF";"https://www.mouser.co.uk/ProductDetail/Bourns/CR0402-FX-2201GLF?qs=JflQ4L8so%2FvNNp%252Bb%2FjYwIg%3D%3D";"";"";
"R188";"220";"CR0402-JW-221GLF";"RESC1005X40N";"Thick Film Resistors - SMD 220 OHM 5%";"CR0402-JW-221GLF";"https://www.arrow.com/en/products/cr0402-jw-221glf/bourns";"Thick Film Resistors - SMD 220 OHM 5%";"0.4mm";"Bourns";"CR0402-JW-221GLF";"652-CR0402JW-221GLF";"https://www.mouser.com/Search/Refine.aspx?Keyword=652-CR0402JW-221GLF";"";"";
"R189";"10K";"CRCW040210K0FKEDC";"RESC1005X35N";"VISHAY - CRCW040210K0FKEDC - RES, THICK FILM, 10K, 0.063W, 0402";"CRCW040210K0FKEDC";"https://www.arrow.com/en/products/crcw040210k0fkedc/vishay?region=nac";"VISHAY - CRCW040210K0FKEDC - RES, THICK FILM, 10K, 0.063W, 0402";"0.35mm";"Vishay";"CRCW040210K0FKEDC";"71-CRCW040210K0FKEDC";"https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW040210K0FKEDC?qs=E3Y5ESvWgWPiNLcGzwCGPg%3D%3D";"";"";
"R190";"2K2";"CR0402-FX-2201GLF";"RESC1005X37N";"BOURNS - CR0402-FX-2201GLF - RES, 2K2, 1%, 0402, THICK FILM";"CR0402-FX-2201GLF";"https://www.arrow.com/en/products/cr0402-fx-2201glf/bourns?region=nac";"BOURNS - CR0402-FX-2201GLF - RES, 2K2, 1%, 0402, THICK FILM";"0.37mm";"Bourns";"CR0402-FX-2201GLF";"652-CR0402FX-2201GLF";"https://www.mouser.co.uk/ProductDetail/Bourns/CR0402-FX-2201GLF?qs=JflQ4L8so%2FvNNp%252Bb%2FjYwIg%3D%3D";"";"";
"R191";"220";"CR0402-JW-221GLF";"RESC1005X40N";"Thick Film Resistors - SMD 220 OHM 5%";"CR0402-JW-221GLF";"https://www.arrow.com/en/products/cr0402-jw-221glf/bourns";"Thick Film Resistors - SMD 220 OHM 5%";"0.4mm";"Bourns";"CR0402-JW-221GLF";"652-CR0402JW-221GLF";"https://www.mouser.com/Search/Refine.aspx?Keyword=652-CR0402JW-221GLF";"";"";
"R192";"10K";"CRCW040210K0FKEDC";"RESC1005X35N";"VISHAY - CRCW040210K0FKEDC - RES, THICK FILM, 10K, 0.063W, 0402";"CRCW040210K0FKEDC";"https://www.arrow.com/en/products/crcw040210k0fkedc/vishay?region=nac";"VISHAY - CRCW040210K0FKEDC - RES, THICK FILM, 10K, 0.063W, 0402";"0.35mm";"Vishay";"CRCW040210K0FKEDC";"71-CRCW040210K0FKEDC";"https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW040210K0FKEDC?qs=E3Y5ESvWgWPiNLcGzwCGPg%3D%3D";"";"";
"R193";"2K2";"CR0402-FX-2201GLF";"RESC1005X37N";"BOURNS - CR0402-FX-2201GLF - RES, 2K2, 1%, 0402, THICK FILM";"CR0402-FX-2201GLF";"https://www.arrow.com/en/products/cr0402-fx-2201glf/bourns?region=nac";"BOURNS - CR0402-FX-2201GLF - RES, 2K2, 1%, 0402, THICK FILM";"0.37mm";"Bourns";"CR0402-FX-2201GLF";"652-CR0402FX-2201GLF";"https://www.mouser.co.uk/ProductDetail/Bourns/CR0402-FX-2201GLF?qs=JflQ4L8so%2FvNNp%252Bb%2FjYwIg%3D%3D";"";"";
"R194";"220";"CR0402-JW-221GLF";"RESC1005X40N";"Thick Film Resistors - SMD 220 OHM 5%";"CR0402-JW-221GLF";"https://www.arrow.com/en/products/cr0402-jw-221glf/bourns";"Thick Film Resistors - SMD 220 OHM 5%";"0.4mm";"Bourns";"CR0402-JW-221GLF";"652-CR0402JW-221GLF";"https://www.mouser.com/Search/Refine.aspx?Keyword=652-CR0402JW-221GLF";"";"";
"R195";"10K";"CRCW040210K0FKEDC";"RESC1005X35N";"VISHAY - CRCW040210K0FKEDC - RES, THICK FILM, 10K, 0.063W, 0402";"CRCW040210K0FKEDC";"https://www.arrow.com/en/products/crcw040210k0fkedc/vishay?region=nac";"VISHAY - CRCW040210K0FKEDC - RES, THICK FILM, 10K, 0.063W, 0402";"0.35mm";"Vishay";"CRCW040210K0FKEDC";"71-CRCW040210K0FKEDC";"https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW040210K0FKEDC?qs=E3Y5ESvWgWPiNLcGzwCGPg%3D%3D";"";"";
"R196";"2K2";"CR0402-FX-2201GLF";"RESC1005X37N";"BOURNS - CR0402-FX-2201GLF - RES, 2K2, 1%, 0402, THICK FILM";"CR0402-FX-2201GLF";"https://www.arrow.com/en/products/cr0402-fx-2201glf/bourns?region=nac";"BOURNS - CR0402-FX-2201GLF - RES, 2K2, 1%, 0402, THICK FILM";"0.37mm";"Bourns";"CR0402-FX-2201GLF";"652-CR0402FX-2201GLF";"https://www.mouser.co.uk/ProductDetail/Bourns/CR0402-FX-2201GLF?qs=JflQ4L8so%2FvNNp%252Bb%2FjYwIg%3D%3D";"";"";
"R197";"220";"CR0402-JW-221GLF";"RESC1005X40N";"Thick Film Resistors - SMD 220 OHM 5%";"CR0402-JW-221GLF";"https://www.arrow.com/en/products/cr0402-jw-221glf/bourns";"Thick Film Resistors - SMD 220 OHM 5%";"0.4mm";"Bourns";"CR0402-JW-221GLF";"652-CR0402JW-221GLF";"https://www.mouser.com/Search/Refine.aspx?Keyword=652-CR0402JW-221GLF";"";"";
"RV1";"MOV-10D561K";"MOV-10D561K";"MOV10D561K";"Varistors 180pF 560volts 10%";"MOV-10D561K";"https://www.arrow.com/en/products/mov-10d561k/bourns";"Varistors 180pF 560volts 10%";"15.5mm";"Bourns";"MOV-10D561K";"652-MOV-10D561K";"https://www.mouser.co.uk/ProductDetail/Bourns/MOV-10D561K?qs=lgttKnAd%252B2ArrqGQgWwr6w%3D%3D";"";"";
"S1";"SKRAAKE010";"SKRAAKE010";"SKRAAKE010_1";"Tact switch,SMT,SPST,white,2.45N o/force White Stem Tactile Switch, SPST-NO 50 mA 3.4mm";"SKRAAKE010";"https://www.arrow.com/en/products/skraake010/alps-electric";"Tact switch,SMT,SPST,white,2.45N o/force White Stem Tactile Switch, SPST-NO 50 mA 3.4mm";"mm";"ALPS Electric";"SKRAAKE010";"688-SKRAAK";"https://www.mouser.co.uk/ProductDetail/Alps-Alpine/SKRAAKE010?qs=W5eanQMd1BB0RPz8ZhKlUA%3D%3D";"";"";
"S2";"SKRAAKE010";"SKRAAKE010";"SKRAAKE010_1";"Tact switch,SMT,SPST,white,2.45N o/force White Stem Tactile Switch, SPST-NO 50 mA 3.4mm";"SKRAAKE010";"https://www.arrow.com/en/products/skraake010/alps-electric";"Tact switch,SMT,SPST,white,2.45N o/force White Stem Tactile Switch, SPST-NO 50 mA 3.4mm";"mm";"ALPS Electric";"SKRAAKE010";"688-SKRAAK";"https://www.mouser.co.uk/ProductDetail/Alps-Alpine/SKRAAKE010?qs=W5eanQMd1BB0RPz8ZhKlUA%3D%3D";"";"";
"S3";"SKRAAKE010";"SKRAAKE010";"SKRAAKE010_1";"Tact switch,SMT,SPST,white,2.45N o/force White Stem Tactile Switch, SPST-NO 50 mA 3.4mm";"SKRAAKE010";"https://www.arrow.com/en/products/skraake010/alps-electric";"Tact switch,SMT,SPST,white,2.45N o/force White Stem Tactile Switch, SPST-NO 50 mA 3.4mm";"mm";"ALPS Electric";"SKRAAKE010";"688-SKRAAK";"https://www.mouser.co.uk/ProductDetail/Alps-Alpine/SKRAAKE010?qs=W5eanQMd1BB0RPz8ZhKlUA%3D%3D";"";"";
"U2";"5055323-9";"5055323-9";"50553239";"AMP - TE CONNECTIVITY - 5055323-9 - POWER TAB, ASSEMBLY, WITH SCREW";"5055323-9";"https://www.arrow.com/en/products/5055323-9/te-connectivity";"AMP - TE CONNECTIVITY - 5055323-9 - POWER TAB, ASSEMBLY, WITH SCREW";"7.2898mm";"TE Connectivity";"5055323-9";"571-5055323-9";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/5055323-9?qs=Ko7makLHeK5WcBiq4KwKgA%3D%3D";"";"";
"U3";"5055323-9";"5055323-9";"50553239";"AMP - TE CONNECTIVITY - 5055323-9 - POWER TAB, ASSEMBLY, WITH SCREW";"5055323-9";"https://www.arrow.com/en/products/5055323-9/te-connectivity";"AMP - TE CONNECTIVITY - 5055323-9 - POWER TAB, ASSEMBLY, WITH SCREW";"7.2898mm";"TE Connectivity";"5055323-9";"571-5055323-9";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity/5055323-9?qs=Ko7makLHeK5WcBiq4KwKgA%3D%3D";"";"";
"Y1";"NX3225GA-12MHZ-STD-CRG-2";"NX3225GA-12MHZ-STD-CRG-2";"NX3225GA12MHZSTDCRG2";"NDK 12MHz Crystal Unit +/-20ppm SMD 4-Pin 3.2 x 2.5 x 0.75mm";"";"";"NDK 12MHz Crystal Unit +/-20ppm SMD 4-Pin 3.2 x 2.5 x 0.75mm";"0.9mm";"NDK";"NX3225GA-12MHZ-STD-CRG-2";"344-NX3225GA12STCRG2";"https://www.mouser.co.uk/ProductDetail/NDK/NX3225GA-12MHZ-STD-CRG-2?qs=w%2Fv1CP2dgqoRB9b4zEbU%252BQ%3D%3D";"";"";
"Y3";"FA-238_25.0000MB-C3";"FA-238_25.0000MB-C3";"FA238300000MBC0";"Crystals 25MHz 50ppm 18pF -20C +70C";"FA-238 25.0000MB-C3";"https://www.arrow.com/en/products/fa-23825.0000mb-c3/epson-electronics-america";"Crystals 25MHz 50ppm 18pF -20C +70C";"0.7mm";"Epson Timing";"FA-238 25.0000MB-C3";"732-FA238-25B-C3";"https://www.mouser.co.uk/ProductDetail/Epson-Timing/FA-238-25.0000MB-C3?qs=CANAagUtPAqYIDF5A41Crg%3D%3D";"";"";
